Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label
2017/4/6,2017,4,6,Thursday,14,2017-14,67.26,67.55,67.16,67.36,2230800,66.31,-0.001778348,65.74642857,63.5428,Green
2017/4/7,2017,4,7,Friday,14,2017-14,67.48,67.59,66.92,67.01,1658800,65.96,-0.005196004,65.84,63.6746,Green
2017/4/10,2017,4,10,Monday,15,2017-15,67.01,67.13,66.61,67.07,1607600,66.02,0.000895469,65.85714286,63.8102,Green
2017/4/11,2017,4,11,Tuesday,15,2017-15,67,67.06,66.55,67.01,1234900,65.96,-0.000894668,65.86,63.9454,Green
2017/4/12,2017,4,12,Wednesday,15,2017-15,66.76,67.55,66.67,67.52,1824200,66.46,0.00761079,65.89285714,64.065,Green
2017/4/13,2017,4,13,Thursday,15,2017-15,67.45,67.51,66.82,67.14,1429600,66.09,-0.005627929,65.87714286,64.1968,Green
2017/4/17,2017,4,17,Monday,16,2017-16,67.1,67.49,67.07,67.48,1241400,66.42,0.005064112,65.93142857,64.3144,Green
2017/4/18,2017,4,18,Tuesday,16,2017-16,67.5,67.81,67.26,67.53,1493000,66.47,0.00074095,65.97928571,64.44,Green
2017/4/19,2017,4,19,Wednesday,16,2017-16,67.47,67.74,67.29,67.54,2883200,66.48,0.000148057,66.04285714,64.5652,Green
2017/4/20,2017,4,20,Thursday,16,2017-16,67.54,67.54,66.71,67.15,2029000,66.1,-0.005774412,66.09857143,64.6788,Green
2017/4/21,2017,4,21,Friday,16,2017-16,66.97,67.61,66.94,67.33,2200200,66.28,0.002680574,66.16714286,64.7698,Green
2017/4/24,2017,4,24,Monday,17,2017-17,67.19,67.83,67.07,67.79,2705000,66.73,0.006832017,66.255,64.8752,Red
2017/4/25,2017,4,25,Tuesday,17,2017-17,67.52,67.81,67.3,67.66,2065800,66.6,-0.001917591,66.30714286,64.969,Red
2017/4/26,2017,4,26,Wednesday,17,2017-17,67.49,67.68,67,67,2349700,65.95,-0.009754723,66.27357143,65.0432,Red
2017/4/27,2017,4,27,Thursday,17,2017-17,67.09,67.7,66.96,67.28,2027600,66.23,0.004179092,66.26785714,65.1302,Red
2017/4/28,2017,4,28,Friday,17,2017-17,67.26,67.3,66.6,67.05,3693100,66,-0.003418547,66.27071429,65.2202,Red
2017/5/1,2017,5,1,Monday,18,2017-18,67.08,67.08,66.17,66.46,2639300,65.42,-0.008799418,66.22785714,65.2898,Green
2017/5/2,2017,5,2,Tuesday,18,2017-18,66.78,67.37,66.14,66.79,2883700,65.75,0.004965486,66.21285714,65.3556,Green
2017/5/3,2017,5,3,Wednesday,18,2017-18,66.73,67.23,66.55,66.77,2477700,65.73,-0.000299627,66.16071429,65.4068,Green
2017/5/4,2017,5,4,Thursday,18,2017-18,66.71,67.03,66.52,66.96,1823400,65.91,0.002845689,66.14785714,65.4594,Green
2017/5/5,2017,5,5,Friday,18,2017-18,67.19,67.37,66.84,67.14,2352100,66.09,0.00268818,66.12428571,65.5028,Green
2017/5/8,2017,5,8,Monday,19,2017-19,67.27,67.29,66.83,66.97,1443900,65.92,-0.002531941,66.085,65.5248,Red
2017/5/9,2017,5,9,Tuesday,19,2017-19,66.96,67.08,66.62,66.77,1716400,65.73,-0.002986601,66.03142857,65.5472,Red
2017/5/10,2017,5,10,Wednesday,19,2017-19,66.83,67.05,65.84,66.49,3011100,65.45,-0.004193372,65.985,65.5516,Red
